_1,1
O,301
povo,63
lutando,2
contra,161
tudo,19
ruim,3
voc,38
representa.,2
Vc,25
frequenta,16
muitos,16
canais,16
YouTube??,16
Então,18
encha,16
saco,20
JOVEM,16
DINÂMICO,16
vc,50
assiste,17
SE,36
POSICIONAR!!,16
Não,75
importa,18
canal,16
GAME,16
PIADA...FODA-SE!,16
Dia,16
7,22
BOLSONARO,126
17,51
futuro,19
país,64
est,189
jogo!!,16
TEM,18
Q,28
POSICIONAR!,16
Isentão,16
ir,100
CASA,16
DO,57
CARALHO!!,16
Jornalista,12
Record,26
Pq,18
senhor,12
crítica,12
candidato,71
Bolsonaro,1051
Haddad,154
faço,12
críticas,12
ninguém,14
Me,37
defendo,12
qd,14
preciso,28
tempo,38
curto,12
perder,95
bate,13
bocas,12
As,78
pessoas,53
sofrendo,12
efeito,13
crise,13
querem,20
ouvir,12
propostas,22
soluções,13
E,84
pressa,12
TOLDOS,20
CONTRA,31
impossível,22
amar,20
brasileiro,47
Eu,42
PT,192
errei,1
4,29
vezes,1
nunca,16
esperança,4
Brasil,95
17🇧,1
Agora,16
perde,25
De,36
Marina,151
Silva,27
(,36
#DebateNaRecord,152
"Bolsonaro,100
fugiu,85
debate,255
porque,35
medo,107
perder".,9
Disse,9
candidata,10
5,17
intenções,9
voto,59
caindo.,9
Voc,15
pode,19
votar,56
quiser,6
Menos,5
merda,23
🇧🇷🇧🇷CIDADÃO,10
DE,60
BEM,10
1️⃣7️⃣🇧🇷🇧🇷,10
vamos,11
deixar,10
comunistas,13
saída!!,10
NÃO,26
CONFIA,10
NA,11
URNA,10
Na,14
hora,28
escreva,10
nome,17
RG,10
número,10
PAPEL,10
deixe,10
debaixo,10
urna,13
digite,10
0,10
todos,48
espaços,12
confirme,10
PROTESTO,10
pra,141
enganar,10
petistas,10
Com,10
correta,2
desculpem,2
rsrs,3
#SomosBolsonaro17,77
qualquer,10
forma,6
dia,16
07,2
errar,3
gente,96
🇧,2
Em,17
2014,5
vivíamos,1
auge,1
antipetismo,3
Aécio,4
sério,32
Dilma,1
atacada,1
lados,2
assim,19
venceu,1
eleições,15
existe,13
setores,1
ricos,2
incapaz,2
deter,1
chegada,1
primavera,1
pq,181
Ué,75
pensei,75
deixou,78
levou,76
FACADA,88
tentativa,74
HOMICÍDIO.,74
Tem,12
ocorrido,9
fenômenos,9
sociais,19
ultimamente,9
envolvem,9
jamais,10
soube,12
história,12
nada,23
parecido.,9
Acabar,1
ameaça,5
Democracia??,1
*Fato,1
Gravíssimo.*,1
Ser,13
desse,4
vídeo,3
acreditar?,1
plena,1
campanha,25
vice,4
convida,1
ex-presidente,1
Uruguai,1
(Mojica,1
governante,1
URSAL,1
Qualquer,14
compare,1
colocando,1
balaio,1
credibilidade,1
pois,10
canalhice,1
tamanho,7
