enquanto,56
bolsonaro,1874
descansa,17
recupera,45
assumir,18
governo,45
melhores,47
condições,17
demais,26
candidatos,69
fazem,23
campanha,73
criticado,17
haddad,168
ciro,162
gomes,45
boulos,46
marina,149
silva,53
alckmin,69
melhor,60
cartão,17
visita,18
alguém,26
pode,39
ter.,1
vídeo,55
neste,10
exato,4
momento,23
eleitores,19
jair,155
candidato,232
presidência,25
república,6
psl,67
lotam,3
avenida,31
paulista,71
(sp),3
algo,19
dizer,52
sobre,453
fotos,5
esquerdistas,10
maquiagens,2
representando,3
machucados,2
frase,11
'elenão,2
escrita,2
corpo,2
mostram,10
quanto,43
imbecis,3
único,11
propostas,28
penas,4
rigorosas,2
criminosos,4
estupradores.,2
interessante,59
diversidade,58
assuntos,60
debate,268
record,103
falando,122
capitão,66
deputado,68
sofreu,64
atentado,58
líder,62
pesquisas,89
bolsonaro.,155
incrível,84
hoje,156
cidade,60
goiana-pernambuco,40
carreata,55
pr,87
verdadeira,43
pesquisa,88
mídia,53
mostrar,73
#somosbolsanaro17,44
#somostodosbolsonaro17,39
#elesim,92
_nacional,40
inúmeras,3
cidades,63
brasileiras,3
saem,6
ruas,40
apoio,147
bolsonaro!,11
nenhum,32
tamanho,2
popular.,2
querem,16
acredite,21
dizem,13
vencerá?,2
piada!,2
povo,102
ruas!,4
#somosbolsonaro17,79
posto,13
gasolina,13
agora,79
conversando,12
frentista:,12
frentista,36
-,61
comum,15
quatro,20
quarenta,12
nove.,12
daqui,13
pouco,17
vinte,12
reais,26
pagar,14
mais...,12
menos,34
ganhe.,12
voto,60
clientes,12
aqui?,12
80,12
serpes/o,10
popular,13
goiás:,10
41,7%,10
14,1%;,10
meirelles,47
6,7%,10
ps:bolsonaro,10
cresceu,11
15,7,10
pontos.,10
gente,113
menina,41
luta,39
igualdade,38
social,41
