"Haddad,10
voc,44
poderia,10
explicar,9
pra,272
mim,23
quer,34
dizer,22
plano,82
governo,22
diz,136
propor,10
assembleia,9
constituinte?",9
pergunta,14
Ciro,931
Gomes,256
#Eleicoes2018,11
#OVotoNaRecord,60
desonestidade,17
intelectual,15
ciro,216
comparar,15
proposta,51
constituinte,21
exclusiva,15
haddad,112
"conselho,15
notáveis,16
nomeado,16
presidente,31
general,15
mourão,16
feio,24
desespero,39
Agora,26
vamos,12
fatos,1
Haddad,309
fraquíssimo,1
oratória,1
Vacila,1
demais,17
gagueja,1
tomou,23
baile,2
Precisa,1
treinar,1
verde,2
Qquer,1
der,5
prensa,1
forte,6
cede,1
CIRO,55
",5
est,85
APLICATIVO,1
disponível,1
Android,1
ajudar,4
bastante,1
campanha,19
nessa,14
reta,4
final,p,1
combater,2
fake,6
news,3
divulgar,1
propostas,22
Clique,1
baixar,1
1⃣2⃣,1
#Ciro12,34
#CiroNoApp,1
#VemComCiro12,1
2o,3
turno,184
lamentável,2
pro,93
Brasil.,4
mandando,17
"vim,17
SONDA,17
MERDA,17
FUDIDO,17
ALTA,17
nao,30
vem",17
segunda,49
opção,57
todos,117
nisso,11
feitos,9
outro,19
"Eu,111
PT,220
anti-PT",88
S,97
faltava,88
completar,88
Marina,245
#DebateNaRecord,242
#DebateRecord,10
T,61
sapateando,8
raiva,10
aqui,24
tentativa,9
querer,13
igualar,9
constituição,10
Mourão,19
reforçar,8
tese,8
ambos,18
extremistas,8
Absurdo,feio,desonesto.,8
imagina,39
vc,46
juntinhos,37
gente,80
chega,39
casa,40
noite,37
liga,36
tv,38
assistir,36
juntos,37
7,40
outubro,36
jornal,36
anuncia,36
segundo,190
@_catito,2
pena,3
virtude,1
dessa,16
militância,2
provavelmente,1
nunca,7
E,76
acho,15
puta,2
viu,11
Certa,1
ocasião,1
disse,32
Lula,42
envelhecendo,1
esquerda,49
"sucessor"..,1
Ciro.,13
Depois,4
deste,4
debate,130
vejo,7
amigos,6
tirando,4
at,23
tema,4
citando,5
agora,70
prefere,4
falta,9
Debate,6
Globo,9
resistir,5
surpreender,4
!,4
A,94
expressão,70
Cabo,59
Daciolo,137
ver,60
dopado,35
Rivotril,35
fingindo,36
algum,38
tipo,35
alternativa,36
extrema,36
petista,44
mesma,42
brasileiros,36
podemos,1
perder,7
chance,7
sonhado,1
momento,3
bolsonaro,6
desmaiando,1
enfrentar,2
Xi..,1
poste,3
carisma,1
aí,2
ruim,11
hein,1
Cirão,3
engoliu,1
hoje,8
Se,31
repetir,1
dose,1
amada,1
turno!,3
Numa,8
jogada,9
coronel,9
atacar,12
Bolsonaro,218
sonda,41
diferença,12
ficou,16
internado,10
toda,11
eleição,32
vítima,10
facada,33
Albert,8
Einstein,8
checar,8
hemorróida.,8
Eu,78
anti,10
Devia,9
encerrado,9
dizendo,11
invejosozinho,8
merda,19
igual,13
Marina!,8
ascensão,2
_Fernando,8
tirou,3
eixo,2
sabe,19
fazer,39
dentro,3
certeza,7
candidato,45
chances!..,2
O,141
devia,1
emendar,1
um"Eu,1
usava,1
outdoor,1
número,5
peito,1
antes,6
modinha,1
Diva,1
cria,1
copia,1
favor,39
pq,96
bozo,37
fodeu,33
ces,33
tao,33
ligado,33
né,38
Total,1
pior,14
vendo,2
galera,6
caindo,2
despolitizada,1
hoje..,1
inclusive,3
entrou,7
nesse,5
papo,18
escroto,1
~tem,1
manter,1
:,1
Que,22
decepção,2
“Eu,18
jogou,36
pesado,17
buscar,15
empatia,15
tuiteiro,15
"não,1
capital,2
político,4
páreo,1
colocou,24
contra,26
vencendo,1
acima,1
margem,3
erro,3
Isso,8
logo,19
após,3
TSE,1
barrar,1
anunciar,1
Haddad.,3
SEU,6
VOTO,6
PODE,4
SER,3
DE,5
AFIRMAÇÃO!,3
NÃO,19
DESPERDICE,3
COM,36
PURA,3
NEGAÇÃO!,3
Quem,8
vota,17
derrotar,5
dar,15
vitória,11
PT!,4
Não,20
B,3
C,3
CIRO!,3
hora,10
VIRADA,3
chegou!!!,3
sai,9
desta,7
menor,7
Começou,6
negociou,6
centrão,7
flerta,6
antipetismo,12
Sem,6
lado,14
apequena-se,6
dia,14
fez,16
Marina.,10
Mas,22
sonho,2
levar,33
novo,9
oq,1
temos...,1
caraca,1
sei,6
coração,5
ta,9
razão,1
estrategicamente,1
falando,28
crlh,1
Kátia,5
Abreu,11
vice,10
Manu,1
deusa,1
governabilidade,1
PORRA,33
VCS,1
ME,2
FODEM,1
ASSIM,1
tempo,28
fala,22
revogar,2
reforma,6
trabalhistas,2
golpistas,4
povo,30
Mude,2
venha,2
#ciro12,2
#CiroNaRecord,30
estar,30
frente,42
atacou,18
bate,22
chances,25
Álvaro,66
marqueteiro,18
trás,86
Meirelles,42
Júpiter,18
Boulos,72
franco,18
atirador,18
bateu,18
cabo,24
sobe,24
desce,19
Monte,18
afinal,1
derrota,4
bosoniro,1
eh,6
ciro???,1
quero,7
desperdiçar,1
voto,42
Pode,5
colocar,2
aspas,1
Porque,3
extremo,2
centro,6
comento.,1
discurso,22
final,16
menos,44
eloquente,1
bem,34
feito,1
termina,1
dado,1
completamente,1
aleatório,1
"nunca,1
história,13
moderna,1
pobres,2
mal,37
Brasil".,1
Precisou,67
falar,100
real,69
Em,7
provou,6
pronto,8
governar,10
Brasil,37
Foi,11
sensato,6
respostas,6
mostrou,7
preparo,7
passou,9
confiança,11
adianta,9
Nada,8
pessoas,16
cegas,6
isento,1
chamado,1
Cear,12
chama,4
neutro,2
Voc,4
pensa,2
interesses,1
qualquer,8
fingir.,1
façam,2
ir,17
:(,3
mitou,5
atuação,4
dois,14
últimos,5
mudar,16
sinais,4
importantes,4
repetirem,4
performance,4
pode,16
problemas,4
chegar,8
vulnerável,4
turno.,6
De,11
(,12
anti-PT".,6
faltou,6
"eu,7
mamãe".,6
Mais,5
passeia,5
