acabei,11
decretar,10
voto,142
ciro,1997
gomes,462
recomendo,10
votarem,10
ficha,59
limpa.,12
12,98
#debatenarecord,442
_s,2
_azeved,1
fez,27
irmão,11
cid,2
secretário,1
saúde,5
assumiu,2
cargo,2
dizendo,32
iria,6
acabar,5
ocupação,1
pacientes,1
corredores,1
hospital,1
geral,2
fortaleza,3
todo,63
ocupa,1
cumpre,1
at,64
fim,31
pra,368
confiar.,2
sugar,46
daddy,46
inteligente,126
boas,49
propostas,73
limpa,49
competente,46
sabe,107
argumentar,44
debater,45
ético,45
simpático,45
educado,45
lindo,54
debochado,49
reizinho,59
memes,44
carismático,44
pensa,53
povo,80
vote,50
debate,430
sbt,124
1,145
dia,176
fazer,172
minicirurgia,123
sonda,144
ai,129
vem,131
eleitor,128
bolsorabo,123
falar,159
pode,180
ir,172
porque,217
ta,139
"recuperando",123
levar,155
alta,147
aqui,161
rio,125
chama,275
cuzão,123
onde,155
vcs,136
moram?,123
brasil,146
quero,33
pessoas,66
entendam,8
anos,33
luz,9
melhor,227
haddad,498
destruiu,3
primeiro,111
questão,6
eunício,14
oliveira,6
criticando,4
política,23
engorda,3
monopólios,3
educação,85
dinheiro,11
público.,3
incrivelmente,3
conseguiu,32
ficar,10
direita,31
contando,4
pediu,16
pro,124
agripino,9
maia,5
realmente,28
suuuuuper,4
diferente,5
renan,8
bom,67
rico.,1
santo,3
esquerds,1
est,112
surfando,1
ondas,1
antipetismo,17
lupi,1
homem,24
honesto,3
pais.,1
verdade,25
bilhete,1
nunca,40
verei,15
bons,22
olhos,15
disso,24
desserviço,15
país,62
enfie,15
amargura,15
arrogancia,15
cu,17
ganhar,49
eleições,32
ganhou,9
amigo,16
nessa,60
campanha,82
maior,29
presentes,11
discurso,14
repetido,4
cansei,4
sendo,31
bem,192
sincero,5
basta,4
ver,41
pesquisas,31
rejeição,7
anti-petismo,5
diferença,6
abissal,5
desempenho,20
debates,39
entender,19
condição,4
segura,5
enfrentar,4
bolsonaro,419
2,75
turno,282
mais.,4
adversário,15
chamar,13
programa,20
projeto,27
revanche.,13
core,1
kkkkkkkk,1
cara,47
além,13
consegue,23
meme,5
vivo,9
namore,1
alguém,63
olhe,1
olha,10
#haddad13presidente,1
#maisamor,1
#menosbozo,1
@_olhaalua,3
vamo,16
ciro!,11
pt,425
chance,13
agora,63
situação,5
outra,13
vier,1
gerar,2
nova,44
tensão,1
2014,2
outro,20
golpe,8
infelizmente,6
=,1
mil,7
vezes,8
resumo,8
globonews,3
vc,50
sabedoria,2
lula,105
né,2
escolheu,1
odiosa,1
marina,262
candidata,1
gente,187
viu,19
tava,4
certo,20
escanteou,1
comprovando,1
coberto,1
razão.,1
lado,13
disse,62
várias,2
pessoal,17
memória,5
curta,1
inocentes,1
úteis,1
cá.,1
chegou,29
certeza,35
preparado,155
presidente,123
fortalece,21
ceará,20
justamente,10
estado,38
governador,18
fato,12
governo,117
avaliado,9
datafolha,13
interessante,9
né?,10
logo,11
governou,7
acha,15
opção,58
presidência,19
algo,11
fez.,7
cabo,32
daciolo,140
eh,36
video,6
mundo,16
bater,27
eleição,81
8,20
aparecer,13
sede,12
pires,13
mão,15
podia,13
comportar,12
reta,13
final,28
dignidade,12
faz,31
boulos,106
exemplo,19
ciro:,54
espírito,55
animal,55
sensato,60
esperto,55
fala,100
preocupa,55
lgbt,55
mulheres,82
candidato,218
menos,72
rejeitado,60
dentre,55
principais,57
plano,76
ganha,74
lavada,55
todos,140
segundo,181
vota,106
"sei,5
segunda,19
todos"..,5
caralho,9
trabalha,10
comunicação,5
contratou,5
amor,61
certamente.,5
dirigir,6
eleitores,37
progressistas,22
gomes:,6
polarizou,6
única,11
esperança,11
contra,95
fascismo,18
murchou,6
apenas,14
dígito,6
desperdice,10
vamos,57
espantar,6
brasil!,7
disparado,2
qualificado,1
contexto,41
crise,1
económica,1
institucional,1
margem,7
eleger,15
amadores.,1
#ciro12,87
#cironarecord,69
#gloriaadeuxx,1
ávaro,15
dias,87
acaba,50
denunciar,15
record,34
compra,16
apoio,31
eleitoral,23
ordem,17
direta,15
escrita,15
modalidade,15
-um,15
mensalão,15
direto,15
prisão.,15
alckmin,173
álvaro,58
apontaram,1
armas,2
pouca,2
proposição.,1
proposição,1
ideias,10
soube,1
defender,6
meireles,5
genéricas,1
"admiro,1
trabalho,7
uahuahauhaua,1
af,2
duo,1
ia,11
esquerda,56
btg,29
tendência,4
fica,15
provado,1
limites,2
coerência,2
free,1
style,1
ciro.,26
certíssimo,1
criticar,11
respeito,6
proposta,24
assembleia,3
constituinte,14
prerrogativa,1
atual,4
levaria,1
risco,7
perdermos,1
direitos,2
cláusulas,1
pétreas,1
hoje,47
.,14
ruas,5
cheias,5
mídia,8
cheia,17
omissão,5
cheio,35
orgulho,6
elenão,5
mentiras,5
xuxu,5
trejeitos,5
cinismo,6
defeitos,7
vento,5
coragem,7
jb,5
segue,13
líder,9
mirou,1
nesta,2
propõs,1
convocar,4
mesma,9
forma,14
general,4
mourão,6
vice,14
rebateu,1
sempre,23
contrário,1
governos,5
autoritários.,1
nasceu,38
ditadura,41
militar,38
formado,38
operários,38
sindicalistas,38
camponeses,38
intelectuais,38
artistas,38
religiosos,38
etc,43
colocá-lo,38
partido,66
autoritário,38
jeito,45
fazem,60
canalhice,38
gigantesca.,38
divulgado,1
números,5
candidatos,60
(de,11
acordo,13
regras,1
tse):,1
12+1,1
meirelles,77
12+3,1
12+5,1
12+6,1
12+7,1
amoêdo,30
12+18,1
12+33,1
12+39,1
achou,10
estranho,1
geraldo,16
subir,2
cair,12
?,1
bolso,10
entendo,5
semana,38
ataques,6
assim,14
acho,36
30%,1
agr,4
bizarro,1
longe,28
único,33
tocar,9
quatro,9
dialogando,9
lados,10
vez,29
furada,16
total,18
história,30
constituição,29
congresso,16
piora,17
88,16
correlação,16
forças,18
favorável,17
pobres,16
ruim,18
precisa,86
detonando,17
cima,27
bobagem,17
sobre,44
claramente,13
capacitado,6
destaca,1
meio,4
demagogismos,1
acusações,1
falácias,1
apontamentos,1
coerentes,2
responde,1
perguntado,2
fechou,8
chave,7
ouro,6
pedindo,9
polarização,19
petistas,18
fascistas,7
monstro,6
participação,8
nestas,7
#ovotonarecord,33
devo,1
entendido,5
mal,6
entao?,1
pareceu,1
ce,2
quis,4
dizer,44
centro,10
isento,1
aguentar,8
deveria,8
cotados,1
deixava,1
participar,1
rir.,1
fizeram,2
parceiro,1
antes,8
manifestação,1
5,43
pesquisar,2
pouco..,1
[30/9,4
23:41,1
fernando,8
viana,2
ciro?,4
23:43,1
saulo,2
cuzao,1
23:44,1
pprt,1
23:45,1
falso,1
neide,1
gozou,1
(,21
"nós,11
precisamos,13
achar,11
caminho,15
reconciliação".,11
agride,11
entrevistadores,11
tapas,11
socos,11
negro,11
discorda,11
"capitão,11
mato,11
parte,37
razoável,11
eleitorado,15
nacional,13
"nazista".,11
então,66
respondeu,1
macho,1
frente,27
outros,14
mudar,19
continua,7
votando,6
racha,1
beijos,1
13,6
bozo,54
dai,1
trezao,1
ne,4
la,7
#debaterecord,8
ódio,19
extremos,5
odienta,1
galera,28
hein...,4
favor,12
continuo,36
firme,42
forte,46
gomes,o,34
governar,51
juntos,7
dias,,1
quanta,1
demagogia...apelação,1
desespero.,2
qualquer,27
centrado,2
honesta,1
quer,110
cenário,4
grande,16
probabilidade,1
silva,33
dois,12
ganhando,5
1t,1
cada,19
evoluir.,1
nada,17
nao,23
viva,2
democracia,7
ne...,1
voce,4
arrombado,1
julgar,5
tiraram,6
uns,37
votos,38
haddad.,23
identifico,11
pois,11
coisa,23
começo,5
bonito,11
argumento,4
acabo,4
perdendo,4
paciência,4
mandando,8
tomar,41
cu.,4
prevejo,2
toca,6
pinda,2
n/cear,2
perguntando,2
''por,2
ganhei?',2
retomando,2
liderança,3
teto,7
#elenão,14
espero,5
confirmado,2
#elen&amp;#.,1
parece,29
google,6
tradutor,6
pausadamente,6
maneira,7
robótica..,6
rachar,7
tanta,9
“massa,6
corrida,7
cara...marina,6
competindo,6
araci,6
top-therm,6
quesito,12
voz..,6
remendado,6
tanto,22
“eu,15
vim,17
último,18
veio?,15
amo,29
