vi,72
gente,61
camisa,30
marina,1612
bandeira,32
ciro,377
adesivo,30
pt,232
panfleto,30
partidos,32
esquerda,47
aposto,30
eleitores,49
alckmin,219
idosos,30
jovens,32
crianças,30
sobretudo,30
mulheres,39
partidário,31
civilizatório.,30
últimas,54
bolsonaro,432
lidera,53
31,59
amoêdo,178
ultrapassa,54
nova,64
pesquisa,141
fsb/btg,55
"bolsonaro,179
fugiu,180
debate,481
pq,204
medo,272
perder,265
falou,196
"cristã,179
silva,362
viu,180
humano,263
esfaqueado,179
30,190
pontos,181
alto,181
barriga,179
usa,180
ausência,179
compreensível,179
argumento,180
fulana,179
evangélica,181
et,184
voc,137
deixar,62
gostar,123
pode,151
at,175
militar,129
ele..,62
maluco,60
votar,96
nesses,61
candidatos,111
nesta,63
eleição.,69
est,98
jogo,60
colocar,64
presidência,70
gosta.,60
lúcida,1
migo,2
estar,12
chapa,11
lo,42
bueno,2
ya,12
acabe,2
el,125
verano,1
es,58
vais,1
tocar,1
más,42
los,82
cojones,1
diciéndome,1
blanco,2
estoy,3
pactual,14
acaba,13
sair,15
forno:,11
caiu,26
2%.,11
haddad,192
subiu,22
1%.,11
3%,12
desidratando,11
1%,12
surpreende,11
alcança,11
5%,42
superando,11
meirelles,112
alvaro,19
dias,75
ranking,3
fãs,12
ganhos,3
redes,14
sociais,10
#debatenarecord,92
ganhou,29
8.412,3
daciolo,65
2.564,3
1.638,3
1.063,3
boulos,62
807,3
álvaro,79
279,3
106,3
74,3
perdeu,10
374.,3
please,78
urgently,76
need,78
ur,76
help,80
went,76
an,156
assessment,76
uba,152
yesterday,79
omw,76
back,80
somewhere,76
btw,77
and,188
obalende,76
lost,77
envelope,76
containing,76
my,101
original,77
certificates(nysc,waec,bsc,transcript,notification,76
of,135
result,birth,76
certificate,76
your,91
rt,82
goes,78
long,77
way.,76
in,76
un,102
paese,14
normale,14
#casalino,14
starebbe,14
ancora,14
buona,18
domenica,14
abiti,14
bondage,14
farsi,14
inseguire,14
tina,14
cipollari,14
litigare,14
con,113
ripa,14
di,33
meana.,14
invece,14
si,35
lamenta,14
del,66
ferragosto,14
saltato,14
#senzaverogna,14
#ferragosto,14
partner,2
tied,1
the,143
knot,1
we,16
met,1
radio,2
studio.,1
so,24
cake,2
was,23
complete,1
with,33
sound,3
device,1
which,3
played,1
some,7
our,18
favourite,1
songs,1
xxxx,1
marthaförbundets,1
ekonomirådgivare,1
nygård,1
skriver,1
senaste,1
numret,1
av,2
affärsmagasinet,1
forum,1
"jag,1
tar,1
inte,1
ställning,1
till,1
om,1
pengar,1
ger,2
lycka,1
men,1
varje,1
fall,3
en,208
viss,1
frihet.,1
виде,3
"эпична,1
битв,1
забавны,1
фейл,1
cs:go,1
мини-игры,1
(,7
на,3
_bernstei,3
sorry,2
sure,5
i've,2
left,5
you,63
on,54
follow,4
but,12
now,7
removed,1
crypto,1
if,9
ever,3
feel,1
like,19
learning,1
about,9
it,15
drop,1
line,1
i'll,1
explain,1
ok,6
:),5
@_mandabarcelos,1
fudendo,1
dream,3
team,3
eduardo,11
jorge,12
contra,35
mochila,1
criança,2
